sector,value (kg CO2 eq.)
Sugar,263984689.755101
"Sugar cane, sugar beet",70450.15623761316
Supporting and auxiliary transport services; travel agency services (63),6117657392.746957
Textiles (17),518525043.36235243
Textiles waste for treatment: incineration,29849277.495269217
Textiles waste for treatment: landfill,11829748.253261052
Tobacco products (16),44819823.11421097
Transmission services of electricity,778589344.4053823
Transportation services via pipelines,23570640.015567593
Uranium and thorium ores (12),0.015525587314332187
"Vegetables, fruit, nuts",1661635019.103648
Wearing apparel; furs (18),1306123376.7585955
Wheat,1114130685.1140194
White Spirit & SBP,841153.7307040475
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",8506504797.827174
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),1143440238.6503837
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,30230136.137071043
Wood waste for treatment: landfill,34085425.02881701
"Wool, silk-worm cocoons",1774357.0556009181
products of Vegetable oils and fats,12136452.339450793
