id,PRODCOM code,HS22 code,Long name,Figure name,Quantity (kg/yr),Quantity (Mt/yr),Local production share of available quantity (%),Ecoinvent activity name or proxy,Note and references,Molecular formula (MF),Molecular weight (MW),Carbon atoms,Carbon mass share,MF and MW reference,Ecoinvent 3.11 activity region 1 location,Ecoinvent 3.11 activity region 1 share,Ecoinvent 3.11 activity region 2 location,Ecoinvent 3.11 activity region 2 share,Ecoinvent 3.11 activity region 3 location,Ecoinvent 3.11 activity region 3 share,Ecoinvent 3.12 activity region 1 location,Ecoinvent 3.12 activity region 1 share,Ecoinvent 3.12 activity region 2 location,Ecoinvent 3.12 activity region 2 share,Ecoinvent 3.12 activity region 3 location,Ecoinvent 3.12 activity region 3 share,Ecoinvent 3.12 activity region 4 location,Ecoinvent 3.12 activity region 4 share,Ecoinvent 3.12 activity region 5 location,Ecoinvent 3.12 activity region 5 share
12,20141160,290124,"Buta-1,3-diene and isoprene",Butadiene,2808940257,2.808940257,0.996817214,market for butadiene,"Globally: Isoprene production is supposed between 0.8 and 1.3 Mt (Kim et al., 2016; Aldridge et al., 2021) vs 10 Mt for butediene (Biddy et al., 2016)",C4H6,54.09,4,0.888223331,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7845,RER,1,,,,,RER w/o RU,1,,,,,,,,
13,20141150,290123,Butene (butylene) and isomers thereof,Butylene,2000046666,2.000046666,0.999976668,"market for butene, mixed",,C8H16,112.21,8,0.856322966,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6435908,RER,1,,,,,RER w/o RU,1,,,,,,,,
14,20162035,390311,"Expansible polystyrene, in primary forms",Polystyrene,1864065177,1.864065177,0.887072495,"market for polystyrene, expandable",,(C8H8)x,104.152,8,0.922574699,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/Polystyrene,GLO,1,,,,,RER,1,,,,,,,,
15,20142310,290531,Ethylene glycol (ethanediol),Ethylene glycol,1795747967,1.795747967,0.556871019,market for ethylene glycol,,C2H6O2,62.07,2,0.387014661,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/174,RER,0.56,RoW,0.44,,,RER,0.56,RoW,0.44,,,,,,
16,20146375,291020,Methyloxirane (propylene oxide),Propylene oxide,1650938177,1.650938177,0.981686695,"market for propylene oxide, liquid",,C3H6O,58.08,3,0.620402893,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6378,RER,1,,,,,RER,1,,,,,,,,
17,20162039,390319,"Polystyrene, in primary forms (excluding expansible polystyrene)",Polystyrene,1592476459,1.592476459,0.931638074,"market for polystyrene, extruded",,(C8H8)x,104.152,8,0.922574699,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/Polystyrene,GLO,1,,,,,GLO,1,,,,,,,,
18,20141353,290315,"1,2-Dichloroethane (ethylene dichloride)",Ethylene dichloride,1202939382,1.202939382,0.756480346,market for ethylene dichloride,,C2H4Cl2,98.96,2,0.242744543,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/11,RER,0.86,RoW,0.14,,,RER,0.86,RoW,0.14,,,,,,
19,20141245,290243,p-Xylene,p-Xylene,1191905947,1.191905947,0.465976359,market for p-xylene,,C8H10,106.16,8,0.905124341,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7809,RER,0.48,RoW,0.52,,,RER,0.48,RoW,0.52,,,,,,
20,20141225,290230,Toluene,Toluene,1120381615,1.120381615,0.97878773,"market for toluene, liquid",,C7H8,92.14,7,0.91249186,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/1140,RER,1,,,,,RER,1,,,,,,,,
21,20146211,291411,Acetone,Acetone,1090852807,1.090852807,0.92846916,"market for acetone, liquid",,C3H6O,58.08,3,0.620402893,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/180,RER,0.93,RoW,0.07,,,RER,0.93,RoW,0.07,,,,,,
22,20146111,291211,Methanal (formaldehyde),Formaldehyde,931200527,0.931200527,0.977233124,market for formaldehyde,,CH2O,30.026,1,0.400019983,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/712,RER,1,,,,,RER,1,,,,,,,,
23,20165230,390521,"Polymers of vinyl acetate, in aqueous dispersion, in primary forms",Polyvinyl acetate,914892768,0.914892768,0.983721843,market for vinyl acetate,,(C4H6O2)x,86.09,4,0.558067139,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/Poly_vinyl-acetate,RER,1,,,,,RER,1,,,,,,,,
24,20143271,291521,Acetic acid,Acetic acid,888564975,0.888564975,0.168811515,market for acetic acid,,C2H4O2,60.05,2,0.400033306,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/176,GLO,1,,,,,GLO,1,,,,,,,,
25,20146373,291010,Oxirane (ethylene oxide),Ethylene oxide,886759378,0.886759378,0.994980261,market for ethylene oxide,,C2H4O,44.05,2,0.545334847,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6354,RER,1,,,,,RER w/o RU,1,,,,,,,,
26,20141371,290321,Vinyl chloride (chloroethylene),Vinyl chloride,882272543,0.882272543,0.906749288,market for vinyl chloride,,C2H3Cl,62.5,2,0.384352,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6338,RER,1,,,,,RER,1,,,,,,,,
27,20144151,292141,Aniline and its salts (excluding derivatives),Aniline,881884158,0.881884158,0.54958148,market for aniline,,C6H7N,93.13,6,0.77382154,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6115,RER,0.8,RoW,0.2,,,RER,0.8,RoW,0.2,,,,,,
28,20164064,390769,Other polyethylene terephthalate in primary forms,Polyethylene terephthalate,872335906,0.872335906,0.504392857,"market for polyethylene terephthalate, granulate, amorphous",,C12H14O4,222.24,12,0.648542117,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/18721140,GLO,1,,,,,GLO,1,,,,,,,,
29,20142320,290532,"Propylene glycol (propane-1,2-diol)",Propylene glycol,848026699,0.848026699,0.943366525,"market for propylene glycol, liquid",,C3H8O2,76.09,3,0.473557629,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/1030,RER,0.95,RoW,0.05,,,RER,0.95,RoW,0.05,,,,,,
30,20162070,390330,"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",ABS,846217183,0.846217183,0.715351861,market for acrylonitrile-butadiene-styrene copolymer,,C15H17N,211.3,15,0.85265026,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/24756,GLO,1,,,,,GLO,1,,,,,,,,
31,20141247,290242,m-Xylene and mixed xylene isomers,m-Xylene,821433537,0.821433537,0.973907156,"market for xylene, mixed",,C8H10,106.16,8,0.905124341,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7929,RER,0.97,RoW,0.03,,,RER,0.97,RoW,0.03,,,,,,
32,20163025,390422,"Plasticised polyvinyl chloride mixed with any other substance, in primary forms",Polyvinyl chloride,790721030,0.79072103,0.935487944,"market for polyvinyl chloride, suspension polymerised",,C2H3Cl,62.5,2,0.384352,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6338,RER,0.98,RoW,0.02,,,RER,0.98,RoW,0.02,,,,,,
33,20141270,290270,Cumene,Cumene,778495527,0.778495527,0.93458212,market for cumene,,C9H12,120.19,9,0.899400948,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7406,RER,0.94,RoW,0.06,,,RER,0.94,RoW,0.06,,,,,,
34,20144350,292610,Acrylonitrile,Acrylonitrile,705069102,0.705069102,0.850980419,market for acrylonitrile,,C3H3N,53.06,3,0.679099133,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7855,GLO,1,,,,,GLO,1,,,,,,,,
35,20141213,290211,Cyclohexane,Cyclohexane,683315016,0.683315016,0.351228927,market for cyclohexane,,C6H12,84.16,6,0.856297529,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/8078,GLO,1,,,,,GLO,1,,,,,,,,
36,20143385,291712,Adipic acid; its salts and esters,Adipic acid,667655569,0.667655569,0.855143012,market for adipic acid,,C6H10O4,146.14,6,0.493129875,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/196,GLO,1,,,,,GLO,1,,,,,,,,
37,20142220,290512,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),Isopropanol,667347651,0.667347651,0.809173448,market for isopropanol,"The overwhelming majority of physical volume tracked under the institutional aggregated codes (HS 2905 12 and Prodcom 20.14.22.20) is therefore Propan-2-ol, which is conservatively estimated to be 8 to 10 times larger in volume than Propan-1-ol (Accessed: 11/11/2025: https://gemini.google.com/share/d1c1fcd87af2)",C3H8O,60.1,3,0.599550749,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/3776,RER,0.82,RoW,0.18,,,RER,0.82,RoW,0.18,,,,,,
38,20141260,290260,Ethylbenzene,Ethylbenzene,642497260,0.64249726,0.933856123,market for ethyl benzene,,C8H10,106.16,8,0.905124341,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7500,RER,1,,,,,RER,1,,,,,,,,
39,20143320,291612,Esters of acrylic acid,Esters of acrylic acid,604861873,0.604861873,0.661308007,market for butyl acrylate,"""2-Propenoic acid, butyl ester"" (Butyl Acrylate): 450 kt < US production (2019) < 2,270 kt; ""2-Propenoic acid, ethyl ester"" (Ethyl acrylate): 45 kt < US production (2019) < 450 kt; ""2-Propenoic acid, methyl ester"" (Methyl acrylate): 45 kt < US production (2019) < 113 kt (US EPA, 2022)",C7H12O2,128.169,7,0.655985457,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/8846,RER,0.72,RoW,0.28,,,RER,0.72,RoW,0.28,,,,,,
40,20161070,390130,"Ethylene-vinyl acetate copolymers, in primary forms",Ethylene-vinyl acetate,593659673,0.593659673,0.842233392,market for ethylene vinyl acetate copolymer,,C6H10O2,114.14,6,0.631382513,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/32742,RER,0.87,RoW,0.13,,,RER,0.87,RoW,0.13,,,,,,
41,20142230,290513,Butan-1-ol (n-butyl alcohol),n-Butanol,507331541,0.507331541,0.788439054,market for n-butanol,,C4H10O,74.12,4,0.648192121,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/263,GLO,1,,,,,GLO,1,,,,,,,,
42,20144123,292122,Hexamethylenediamine and its salts; ethylenediamine and its salts,Hexamethylenediamine,443739559,0.443739559,0.90142966,market for hexamethylenediamine,"""1,6-Hexanediamine"" (Hexamethylenediamine): 450 kt < US production (2019) < 2,270 kt; ""1,2-Ethanediamine"" (ethylenediamine): 45 kt < US production (2019) < 450 kt (US EPA, 2022)",C6H16N2,116.2,6,0.620189329,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/16402,RER,0.91,RoW,0.09,,,RER,0.91,RoW,0.09,,,,,,
43,20143215,291531,Ethyl acetate,Ethyl acetate,377601386,0.377601386,0.119173291,market for ethyl acetate,,C4H8O2,88.11,4,0.545272954,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/8857,GLO,1,,,,,GLO,1,,,,,,,,
44,20164013,390710,"Polyacetals, in primary forms",Polyoxymethylene,334412816,0.334412816,0.59226284,manual:3.64,"Polyoxymethylene (POM) carbon footprint is estimated to 3.64 kg CO2-eq/kg polymer (Jones et al., 2022)",(CH2O)n ,30.026,1,0.400019983,Source : 26-03-2026 - https://en.wikipedia.org/wiki/Polyoxymethylene,,,,,,,,,,,,,,,,
45,20146333,290941,"2,2-Oxydiethanol (diethylene glycol; digol)",Diethylene glycol,321846701,0.321846701,0.186424157,market for diethylene glycol,,C4H10O3,106.12,4,0.452732755,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/8117,RER,0.21,RoW,0.79,,,RER,0.21,RoW,0.79,,,,,,
46,20143340,291614,Esters of methacrylic acid,Methyl methacrylate,321638245,0.321638245,0.27981747,market for methyl methacrylate,"""2-Propenoic acid, 2-methyl-, butyl ester"" (Butyl methacrylate) 9 kt < US production (2019) < 45 kt; ""2-Propenoic acid, 2-methyl-, ethyl ester"" (Ethyl methacrylate) 0.45 kt < US production (2019) < 9 kt; ""2-Propenoic acid, 2-methyl-, methyl ester"" (Methyl methacrylate): 450 kt < US production (2019) < 2,270 kt (US EPA, 2022)",C5H8O2,100.12,5,0.599830204,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/6658,RER,0.35,RoW,0.65,,,RER,0.35,RoW,0.65,,,,,,
47,20141243,290241,o-Xylene,o-Xylene,318208407,0.318208407,0.448046167,market for o-xylene,,C8H10,106.16,8,0.905124341,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7237,RER,0.51,RoW,0.49,,,RER,0.51,RoW,0.49,,,,,,
48,20144450,292910,Toluene diisocyanate (TDI),Toluene diisocyanate,242141968.2,0.242141968,0.886320477,market for toluene diisocyanate,"Split in the Export sheet, MDI production capacity 10 Mt TDI production capacity 3 Mt (Richter et al., 2024)",C9H6N2O2,174.16,9,0.620687873,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/11443,RER,0.88,RoW,0.12,,,RER,0.88,RoW,0.12,,,,,,
49,20144450,292910,Methylene diphenyl diisocyanate (MDI),Methylene diphenyl diisocyanate,807139893.8,0.807139894,0.886320477,market for methylene diphenyl diisocyanate,"Split in the Export sheet, MDI production capacity 10 Mt TDI production capacity 3 Mt (Richter et al., 2024)",C15H10N2O2,250.25,15,0.71994006,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/7570,RER,0.88,RoW,0.12,,,RER,0.88,RoW,0.12,,,,,,
50,20165450,390810,"Polyamide -6,6 (PA 66)","Polyamide -6,6",1089108418,1.089108418,0.877484426,market for nylon 6-6,"Split PA 6 and PA 66, with ratio built from 4 million tons for PA 6 and 3.4 million tons for PA 66 (Khedr, 2023)",C12H20N2O2,224.3,12,0.642585823,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/36070,RER,0.91,RoW,0.09,,,RER,0.91,RoW,0.09,,,,,,
51,20165450,390810,Polyamide -6 (PA 6),Polyamide -6,1281304022,1.281304022,0.877484426,market for nylon 6,"Split PA 6 and PA 66, with ratio built from 4 million tons for PA 6 and 3.4 million tons for PA 66 (Khedr, 2023)",C30H56N5O6-,582.8,30,0.61827385,Source : 26-03-2026 - https://pubchem.ncbi.nlm.nih.gov/compound/9543372,RER,0.91,RoW,0.09,,,RER,0.91,RoW,0.09,,,,,,
