sector,climate change: total (excl. biogenic CO2)
Gas/Diesel Oil,68788919479.69177
Gasoline Type Jet Fuel,0.0
Glass and glass products,1473348348.4333525
Health and social work services (85),88163763848.13387
Heavy Fuel Oil,9310174653.464302
Hotel and restaurant services (55),64078853787.47765
Inert/metal/hazardous waste for treatment: landfill,4468440868.252213
Inland water transportation services,2912706483.521612
"Insurance and pension funding services, except compulsory social security services (66)",16387383200.007494
Intert/metal waste for treatment: incineration,5396457074.25245
Iron ores,48602448.15476064
Kerosene,317585778.8431714
Kerosene Type Jet Fuel,1850401009.103878
"Lead, zinc and tin and products thereof",2687809652.4469714
"Lead, zinc and tin ores and concentrates",414547530.24003476
Leather and leather products (19),15148270372.064331
Lignite/Brown Coal,93696899.92827365
Liquefied Petroleum Gases (LPG),4664373015.29775
Lubricants,58813974.942184865
Machinery and equipment n.e.c. (29),111026320500.98775
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,10299929650.22228
Meat products nec,5630359208.878075
"Medical, precision and optical instruments, watches and clocks (33)",977710396.801965
Membership organisation services n.e.c. (91),12015023788.676826
Motor Gasoline,92333636394.38643
"Motor vehicles, trailers and semi-trailers (34)",175452389265.79242
N-fertiliser,2320866986.994757
Naphtha,403829983.3380836
Natural Gas Liquids,15028259.53789991
"Natural gas and services related to natural gas extraction, excluding surveying",14923616789.44156
Nickel ores and concentrates,4785702079.947418
Non-specified Petroleum Products,75092070.94134662
Nuclear fuel,8537886493.671626
Office machinery and computers (30),5373050845.367562
Oil seeds,7440368787.796047
Oil/hazardous waste for treatment: incineration,2946311255.447549
Other Bituminous Coal,8805391863.744595
Other Hydrocarbons,519685.4694352173
Other Liquid Biofuels,18042411.622499365
Other business services (74),16455550293.994822
Other land transportation services,81594184690.96758
Other non-ferrous metal ores and concentrates,33820664.75437712
Other non-ferrous metal products,304582662.8489338
Other non-metallic mineral products,7018123164.13702
Other services (93),17459878034.183697
Other transport equipment (35),37381341572.34066
Other waste for treatment: waste water treatment,8355536212.40349
Oxygen Steel Furnace Gas,190416.76846410858
P- and other fertiliser,5666222733.448375
Paddy rice,3201065212.6817994
Paper and paper products,18733412215.265793
Paper and wood waste for treatment: composting and land application,8420178.363965398
Paper for treatment: landfill,2055283048.5440757
Paper waste for treatment: biogasification and land application,33122346.68681428
Paper waste for treatment: incineration,2668033091.2545786
Paraffin Waxes,139023636.61716986
Patent Fuel,8.996150728805942
Peat,10865874.533105569
Petroleum Coke,24025410.02943803
Pigs,7441918932.375443
Plant-based fibers,270810583.3810027
Plastic waste for treatment: incineration,2523842040.426189
Plastic waste for treatment: landfill,255663384.9188569
"Plastics, basic",91814272362.9926
Post and telecommunication services (64),11313506618.227497
Poultry,18155156205.977814
Precious metal ores and concentrates,1583287439.5330217
Precious metals,1552255860.0315225
Printed matter and recorded media (22),4097053164.700071
Private households with employed persons (95),252079509.3032068
Processed rice,1470087041.4941041
"Products of forestry, logging and related services (02)",4321174327.339305
Products of meat cattle,54681516243.60182
Products of meat pigs,22534356374.749054
Products of meat poultry,15950426378.489906
Public administration and defence services; compulsory social security services (75),109736962390.48466
Pulp,2551648436.6910963
"Radio, television and communication equipment and apparatus (32)",1219914633.8266594
Railway transportation services,42961847038.02722
Raw milk,26307454749.340065
Real estate services (70),42205594793.19844
"Recreational, cultural and sporting services (92)",12740332019.338129
Refinery Feedstocks,192424305.08967683
Refinery Gas,6259.53798774686
Renting services of machinery and equipment without operator and of personal and household goods (71),6626564477.984881
Research and development services (73),11296163830.972918
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",61962033879.160995
Retail trade services of motor fuel,1286345693.664132
Rubber and plastic products (25),29055832785.81222
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",34146914305.33346
Sand and clay,3418055040.2381544
Sea and coastal water transportation services,61435469043.62767
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,224015046.5566083
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),3237214604.5273404
Sewage sludge for treatment: biogasification and land application,2283960389.7709513
Steam and hot water supply services,15373710244.23002
Stone,1690441925.7649963
Sub-Bituminous Coal,70075.48631778377
Sugar,4874214901.349745
"Sugar cane, sugar beet",1708456770.1997988
Supporting and auxiliary transport services; travel agency services (63),20715858849.5224
Textiles (17),19201156809.47047
Textiles waste for treatment: incineration,467330816.6898775
Textiles waste for treatment: landfill,182615581.50230902
Tobacco products (16),4842564514.720857
Transmission services of electricity,2423171592.4173126
Transportation services via pipelines,33342598.16650911
Uranium and thorium ores (12),4311492.775115802
"Vegetables, fruit, nuts",43625780456.965836
Wearing apparel; furs (18),26734056552.214733
Wheat,17982277870.387745
White Spirit & SBP,42399819.51736333
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",4933146886.898151
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),9940184845.743698
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,1203739281.278506
Wood waste for treatment: landfill,440376052.60809565
"Wool, silk-worm cocoons",68384107.19870965
products of Vegetable oils and fats,3127540372.055851
