sector,climate change: total (excl. biogenic CO2)
"Medical, precision and optical instruments, watches and clocks (33)",3246542259.4688177
Membership organisation services n.e.c. (91),8635082.254192906
Motor Gasoline,13742933761.611088
"Motor vehicles, trailers and semi-trailers (34)",43134222064.71462
N-fertiliser,133202221.72335646
Naphtha,878791060.6361433
Natural Gas Liquids,468801987.0125011
"Natural gas and services related to natural gas extraction, excluding surveying",43454216210.77792
Nickel ores and concentrates,2115564.9246447436
Non-specified Petroleum Products,32216254.881838653
Nuclear fuel,34801020.26067835
Office machinery and computers (30),41043331883.58482
Oil seeds,1657255393.9474626
Oil/hazardous waste for treatment: incineration,359132.07681647467
Other Bituminous Coal,3485892499.1968436
Other Hydrocarbons,2161.6338706493657
Other Liquid Biofuels,647.9376430108489
Other business services (74),4750498417.553156
Other land transportation services,6573381692.766451
Other non-ferrous metal ores and concentrates,308384.172991789
Other non-ferrous metal products,272735583.56643647
Other non-metallic mineral products,2798218137.19656
Other services (93),253900059.6249914
Other transport equipment (35),15056288727.033476
Other waste for treatment: waste water treatment,5750072.6360874325
Oxygen Steel Furnace Gas,0.0016973578292085187
P- and other fertiliser,5002009987.641073
Paddy rice,34788092.271929614
Paper and paper products,2079441157.6912189
Paper and wood waste for treatment: composting and land application,19108.49226217416
Paper for treatment: landfill,783024.3802553928
Paper waste for treatment: biogasification and land application,4332.495000497683
Paper waste for treatment: incineration,881122.226414548
Paraffin Waxes,8592443.368151339
Patent Fuel,1257694.8822168796
Peat,9840276.361430306
Petroleum Coke,57530212.60988251
Pigs,1387259.2309138128
Plant-based fibers,220105769.30291003
Plastic waste for treatment: incineration,313361.960898304
Plastic waste for treatment: landfill,211571.79238133988
"Plastics, basic",10657844538.930635
Post and telecommunication services (64),1039285423.4028169
Poultry,81455393.29692279
Precious metal ores and concentrates,52658.88633593796
Precious metals,78434168.16038738
Printed matter and recorded media (22),228176186.80750364
Private households with employed persons (95),1153924308.618414
Processed rice,612725653.9050766
"Products of forestry, logging and related services (02)",246957297.48063508
Products of meat cattle,17832593093.901913
Products of meat pigs,185947032.4190013
Products of meat poultry,1108120023.1784277
Public administration and defence services; compulsory social security services (75),493960972.7318794
Pulp,144942579.57079366
"Radio, television and communication equipment and apparatus (32)",1101918975.6782672
Railway transportation services,669145991.3672454
Raw milk,0.0
Real estate services (70),2205098313.046679
"Recreational, cultural and sporting services (92)",605985705.1702073
Refinery Feedstocks,52253.5996991423
Refinery Gas,124493.11453308754
Renting services of machinery and equipment without operator and of personal and household goods (71),2305707.858873105
Research and development services (73),12191620803.744844
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",774902437.0664499
Retail trade services of motor fuel,21201090.395545956
Rubber and plastic products (25),14705463213.020668
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",201185590.88561195
Sand and clay,24837639.50924063
Sea and coastal water transportation services,49157293523.15082
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),35750994.02668117
Sewage sludge for treatment: biogasification and land application,3061291.4347963664
Steam and hot water supply services,0.0
Stone,15897520.846513186
Sub-Bituminous Coal,66773134.91527182
Sugar,964306661.9098892
"Sugar cane, sugar beet",76255.56537796388
Supporting and auxiliary transport services; travel agency services (63),2557680527.554792
Textiles (17),16329509131.160147
Textiles waste for treatment: incineration,203207.83385516793
Textiles waste for treatment: landfill,156433.01482077703
Tobacco products (16),359093168.448528
Transmission services of electricity,0.0
Transportation services via pipelines,84632753.54768518
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",13336537411.8669
Wearing apparel; furs (18),43402789443.57145
Wheat,790266201.8519108
White Spirit & SBP,6995981.516928188
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",47380415.26271255
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),1638277719.07709
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,258791.9254585102
Wood waste for treatment: landfill,209269.77890570095
"Wool, silk-worm cocoons",103646840.88745421
products of Vegetable oils and fats,1769901684.2762952
