sector,climate change: total (excl. biogenic CO2)
Lubricants,6261466.580712301
Machinery and equipment n.e.c. (29),5648150772.658952
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,16152454.285238616
Meat products nec,40159367.24389175
"Medical, precision and optical instruments, watches and clocks (33)",1436260194.5952349
Membership organisation services n.e.c. (91),27427895.145995013
Motor Gasoline,633081669.7554853
"Motor vehicles, trailers and semi-trailers (34)",1427383800.016563
N-fertiliser,14985612.004810985
Naphtha,618957163.296925
Natural Gas Liquids,1679724719.4353948
"Natural gas and services related to natural gas extraction, excluding surveying",507961113.03157586
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,109679548.00955427
Nuclear fuel,39191.99625551042
Office machinery and computers (30),431142171.1675614
Oil seeds,1388233845.6837754
Oil/hazardous waste for treatment: incineration,8254722.994552515
Other Bituminous Coal,1466139671.245576
Other Hydrocarbons,28010.173048309418
Other Liquid Biofuels,88375.29486730216
Other business services (74),3974567410.506938
Other land transportation services,4952624024.85138
Other non-ferrous metal ores and concentrates,692130.5900939987
Other non-ferrous metal products,1260540127.4310684
Other non-metallic mineral products,1613639416.1181219
Other services (93),141571887.53318352
Other transport equipment (35),5013899018.610884
Other waste for treatment: waste water treatment,20842863.111882772
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,3310851634.853198
Paddy rice,36277660.98530243
Paper and paper products,3123303824.91111
Paper and wood waste for treatment: composting and land application,24029.00368466036
Paper for treatment: landfill,6833372.156983182
Paper waste for treatment: biogasification and land application,296467.7552501401
Paper waste for treatment: incineration,10393860.998594496
Paraffin Waxes,54912691.082582906
Patent Fuel,477109.6454998537
Peat,99588.86211606581
Petroleum Coke,71772289.28074436
Pigs,9455937.675070055
Plant-based fibers,7108057.36818158
Plastic waste for treatment: incineration,7665406.062518524
Plastic waste for treatment: landfill,2314549.377774975
"Plastics, basic",1523844713.1400065
Post and telecommunication services (64),529611645.6624851
Poultry,5330281.534882766
Precious metal ores and concentrates,7104.202141647921
Precious metals,177192933.355527
Printed matter and recorded media (22),535051268.6856501
Private households with employed persons (95),1261092727.983579
Processed rice,195461082.2874194
"Products of forestry, logging and related services (02)",222511822.4674512
Products of meat cattle,983486476.7691038
Products of meat pigs,150980277.6491454
Products of meat poultry,68243251.15283446
Public administration and defence services; compulsory social security services (75),0.0
Pulp,509034274.03451204
"Radio, television and communication equipment and apparatus (32)",806510449.3199712
Railway transportation services,1782605518.6662214
Raw milk,0.0
Real estate services (70),582600574.9921106
"Recreational, cultural and sporting services (92)",393447675.21429175
Refinery Feedstocks,106056714.62912413
Refinery Gas,2310374.8482692624
Renting services of machinery and equipment without operator and of personal and household goods (71),249610110.72263128
Research and development services (73),2052777115.5850768
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",182602453.28675148
Retail trade services of motor fuel,35478185.24855
Rubber and plastic products (25),13838407475.120806
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",48865494.70513767
Sand and clay,184729100.0234612
Sea and coastal water transportation services,12016880060.200825
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),273576932.29796726
Sewage sludge for treatment: biogasification and land application,12418781.8716392
Steam and hot water supply services,0.0
Stone,83813287.54234338
Sub-Bituminous Coal,34239299.3803223
Sugar,129655872.68283436
"Sugar cane, sugar beet",1883098.4147469008
Supporting and auxiliary transport services; travel agency services (63),1778291860.3137138
Textiles (17),2731331055.1596475
Textiles waste for treatment: incineration,3065991.541723939
Textiles waste for treatment: landfill,1080123.0485593982
Tobacco products (16),3065067.8043017355
Transmission services of electricity,0.0
Transportation services via pipelines,1187672522.7109013
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",929400729.7575676
Wearing apparel; furs (18),957606509.7145224
Wheat,58546217.056595676
White Spirit & SBP,6315815.95243972
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1997143929.4216692
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),2480762799.0961084
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,6709912.289238416
Wood waste for treatment: landfill,1840726.3130885605
"Wool, silk-worm cocoons",8527085.768400954
products of Vegetable oils and fats,1256850875.7871523
