sector,value (kg CO2 eq.)
Renting services of machinery and equipment without operator and of personal and household goods (71),3844323.5311372285
Research and development services (73),3552201175.7938576
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",9684657.692451049
Retail trade services of motor fuel,2682907.8517829385
Rubber and plastic products (25),5393016707.827593
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",36039254.98624916
Sand and clay,3391916.411297676
Sea and coastal water transportation services,18683426443.1988
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),25300869.09623264
Sewage sludge for treatment: biogasification and land application,0.0
Steam and hot water supply services,0.0
Stone,169408.61464413768
Sub-Bituminous Coal,0.00011314182361623045
Sugar,22898260.32808741
"Sugar cane, sugar beet",0.010749327417733781
Supporting and auxiliary transport services; travel agency services (63),204840430.25352266
Textiles (17),3349935763.5424776
Textiles waste for treatment: incineration,0.0
Textiles waste for treatment: landfill,0.0
Tobacco products (16),381604655.23319995
Transmission services of electricity,0.0
Transportation services via pipelines,2579348.0001278813
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",3171719906.108991
Wearing apparel; furs (18),8889760068.120035
Wheat,23793506.06147171
White Spirit & SBP,0.0
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",0.0
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),366772609.59043807
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,0.0
Wood waste for treatment: landfill,0.0
"Wool, silk-worm cocoons",0.006927449821183519
products of Vegetable oils and fats,206189342.0727112
