sector,value (kg CO2 eq.)
"Medical, precision and optical instruments, watches and clocks (33)",0.0
Membership organisation services n.e.c. (91),285646758.81009275
Motor Gasoline,2543762125.306289
"Motor vehicles, trailers and semi-trailers (34)",6001795462.060699
N-fertiliser,19780399.177601583
Naphtha,627248737.8158312
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",205809738.9949017
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,46032966.165664345
Nuclear fuel,238134080.03870395
Office machinery and computers (30),582944472.281468
Oil seeds,4382336654.117791
Oil/hazardous waste for treatment: incineration,657509770.393978
Other Bituminous Coal,0.0
Other Hydrocarbons,0.0
Other Liquid Biofuels,29991413.337085333
Other business services (74),36720836963.4488
Other land transportation services,5944752914.061038
Other non-ferrous metal ores and concentrates,380.39169167044264
Other non-ferrous metal products,130447941.07042484
Other non-metallic mineral products,1639519956.208163
Other services (93),181707228.98788258
Other transport equipment (35),6517780821.387479
Other waste for treatment: waste water treatment,1692901028.0936797
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,246563925.31100476
Paddy rice,5343124.67865246
Paper and paper products,1879470754.794685
Paper and wood waste for treatment: composting and land application,1868794.8835418303
Paper for treatment: landfill,284079063.0860416
Paper waste for treatment: biogasification and land application,6113460.935745797
Paper waste for treatment: incineration,522911887.0161916
Paraffin Waxes,13369246.024649432
Patent Fuel,0.0
Peat,0.0
Petroleum Coke,11157308.628918307
Pigs,3158825970.990269
Plant-based fibers,78530905.70255011
Plastic waste for treatment: incineration,227619435.67220917
Plastic waste for treatment: landfill,78238898.3184145
"Plastics, basic",23798530287.05107
Post and telecommunication services (64),2719719267.397254
Poultry,1550846712.389612
Precious metal ores and concentrates,0.0
Precious metals,782510505.6552789
Printed matter and recorded media (22),1761557138.887829
Private households with employed persons (95),1467673.7679901153
Processed rice,8337270.865821622
"Products of forestry, logging and related services (02)",652067996.0490497
Products of meat cattle,9005583834.896221
Products of meat pigs,1404177813.9750936
Products of meat poultry,507404607.04118675
Public administration and defence services; compulsory social security services (75),65703470.06614285
Pulp,606489059.123412
"Radio, television and communication equipment and apparatus (32)",123712046.39065263
Railway transportation services,2893663679.828313
Raw milk,27898223255.288635
Real estate services (70),1890138903.9312859
"Recreational, cultural and sporting services (92)",2919761384.1310678
Refinery Feedstocks,48259592.40689393
Refinery Gas,22545548.627041135
Renting services of machinery and equipment without operator and of personal and household goods (71),6397902616.851863
Research and development services (73),634338737.4782635
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",1582210938.485051
Retail trade services of motor fuel,168564834.81610477
Rubber and plastic products (25),9852560596.54729
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",990800431.0555897
Sand and clay,2765745424.62423
Sea and coastal water transportation services,16250598236.498936
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),3121045059.5303864
Sewage sludge for treatment: biogasification and land application,679224709.1125222
Steam and hot water supply services,5423928939.308445
Stone,2706889314.303614
Sub-Bituminous Coal,0.0
Sugar,1685798044.6269228
"Sugar cane, sugar beet",2045338251.4507046
Supporting and auxiliary transport services; travel agency services (63),18348087939.603245
Textiles (17),1479245816.400108
Textiles waste for treatment: incineration,112913801.84269488
Textiles waste for treatment: landfill,49615069.5584248
Tobacco products (16),7514672.927545678
Transmission services of electricity,1178283891.2462058
Transportation services via pipelines,837811184.5793275
Uranium and thorium ores (12),310524.40573938814
"Vegetables, fruit, nuts",2063347284.3789742
Wearing apparel; furs (18),249642978.6931731
Wheat,7716785897.285529
White Spirit & SBP,116203779.29697208
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",14878635999.363403
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),6784852264.923021
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,163937262.97705212
Wood waste for treatment: landfill,153351037.68399423
"Wool, silk-worm cocoons",2062690.6966505875
products of Vegetable oils and fats,80242809.08146308
